id_cliente,recencia,frequencia,valor_total,ticket_medio,tenure_dias,qt_devolucoes,valor_devolvido,R,F,M,segmento,loja,churn_proba,churn_previsto,faixa_risco,churn_real,conjunto
AB7AAC87CDC1DF36FC65B6B386C504AC,14,11,381.74,34.7,381,0,0.0,4,3,3,Leais,2,0.2686350927040007,0,Baixo,0,teste
3717C5B6C2392CC597FE7626BA9964FE,0,66,6114.13,83.76,421,0,0.0,5,5,5,Campeoes,2,0.0077783797938307,0,Baixo,0,treino
7182B969E2E7423D651B2D653B2FFA4A,0,71,4801.19,65.77,409,0,0.0,5,5,5,Campeoes,1,0.007438265861774,0,Baixo,0,treino
1A6CD27FC67C545B17F73D2DADA8E35F,199,1,80.88,80.88,199,0,0.0,2,1,1,Perdidos,1,0.9072186387426175,1,Alto,0,treino
091C67ACA6AEA21F82B01677C54FEFD8,124,31,1112.74,35.89,412,0,0.0,2,4,4,Em risco (alto valor),2,0.6884628663617054,1,Alto,0,treino
C8C1408E65BC3545652E19A3DDC84630,2,10,1240.85,112.8,421,0,0.0,5,3,4,Leais,1,0.1627033435761924,0,Baixo,0,treino
8329B5E6C7C4E5F204705C3E5A68BB64,9,55,4733.73,81.62,422,0,0.0,4,5,5,Campeoes,1,0.0205631652756162,0,Baixo,0,teste
571372B278E300468FAC3B31A11A8AF4,4,55,5476.34,91.27,384,0,0.0,5,5,5,Campeoes,2,0.0133510394258353,0,Baixo,0,treino
9D9926BB7202C8D6C018A175007D4C24,1,20,1084.51,51.64,407,0,0.0,5,4,4,Campeoes,1,0.0692656204705121,0,Baixo,0,treino
2BA0D2270C7AE44C723C7DE2A99FAE25,3,78,3445.17,41.51,419,0,0.0,5,5,5,Campeoes,2,0.0075482374518814,0,Baixo,0,treino
D99AC607B1D3E500E4BC7BAC8C4A087F,19,18,889.57,49.42,171,0,0.0,4,4,3,Leais,2,0.2334350114640859,0,Baixo,0,treino
27C153A42D539EC54286F2B31727117E,23,48,7569.23,151.38,417,0,0.0,4,5,5,Campeoes,1,0.0388608216297746,0,Baixo,0,teste
6896EB6D72696D4D86FFE6230BDC3313,2,42,4025.12,87.5,422,0,0.0,5,5,5,Campeoes,1,0.0162623537301456,0,Baixo,0,treino
2DE4FB41CC704B0804C21240597820CA,2,68,3210.59,39.64,369,0,0.0,5,5,5,Campeoes,2,0.0087519776095778,0,Baixo,0,treino
4D18A29671C53E4FB75D3F92F3AB1DC3,2,30,842.88,28.1,421,0,0.0,5,4,3,Leais,2,0.078409042593557,0,Baixo,0,treino
9843A3655224DB57181BD23897A93DF4,25,76,3512.82,37.37,423,0,0.0,4,5,5,Campeoes,1,0.0329488548734632,0,Baixo,0,teste
8F54557E9B2F2B329F3FF715BF10D428,87,2,45.37,22.69,409,0,0.0,2,2,1,Hibernando,2,0.7713107466811259,1,Alto,0,treino
086B6F6D8DDB543EF437A3E3D8042306,11,12,570.84,43.91,421,0,0.0,4,4,3,Leais,1,0.1661412393870595,0,Baixo,0,teste
1BD241EB8D45787A7EEABE2A43DE85AA,2,81,4365.96,50.18,417,0,0.0,5,5,5,Campeoes,2,0.0065128972996377,0,Baixo,0,teste
986C07C00ED5188C0BF3EBA3B91BF083,24,4,1048.97,262.24,214,0,0.0,4,3,4,Leais,1,0.3537317864583501,0,Medio,0,treino
E17B1FE938BAEB1ED182074EB67E1A29,2,15,644.85,42.99,351,0,0.0,5,4,3,Leais,2,0.1140862563407389,0,Baixo,0,treino
FA97B5AA2A92F0AC2AA16D2503116EDA,20,13,372.51,28.65,418,0,0.0,4,4,3,Leais,2,0.1658341986307379,0,Baixo,0,treino
221A240E7B887ED88D5F0B8F17230222,2,110,3755.11,31.56,418,0,0.0,5,5,5,Campeoes,1,0.0033941292363714,0,Baixo,0,teste
566DF98272A912D7A33D74814F836A60,3,38,1985.83,49.65,417,0,0.0,5,5,4,Campeoes,2,0.0272405163219208,0,Baixo,0,treino
73CD6E764ED36C93B621A9BB23D0E416,56,7,255.88,36.55,351,0,0.0,3,3,2,Atencao,2,0.5033278092087478,1,Medio,0,teste
6732FEA8E2E253883033EE308C849423,53,8,4016.85,401.69,264,0,0.0,3,3,5,Atencao,1,0.4095356882433889,0,Medio,0,teste
364EC2FD6D0D85A177CB4FFA7CEA9CE7,17,14,871.77,62.27,290,0,0.0,4,4,3,Leais,2,0.1907411600163655,0,Baixo,0,treino
712E192BA4CCDF013CE413C37FB084F1,15,30,3043.04,101.43,373,0,0.0,4,4,5,Campeoes,1,0.072633874739626,0,Baixo,0,teste
AEDA6B6B692AB4D6B02AA7032BB03399,30,72,4630.84,54.48,421,0,0.0,3,5,5,Atencao,2,0.0545562632954764,0,Baixo,0,treino
AFCC713C119CA411ED83FAC2B9D5AC05,170,3,265.01,88.34,343,0,0.0,2,2,2,Hibernando,2,0.7746193109268341,1,Alto,0,teste
5273B5F15F53819893ABCD5CA0A2DC78,42,13,1140.02,81.43,410,0,0.0,3,4,4,Atencao,2,0.1986961365246185,0,Baixo,0,treino
4DEA054FC0FBF2E01F925B09A2D6F473,6,44,3129.49,66.58,398,1,54.99,4,5,5,Campeoes,1,0.0117291161421292,0,Baixo,0,teste
FE229257772F3E7B3E8E058CD09E70B7,1,29,661.16,22.04,411,0,0.0,5,4,3,Leais,2,0.0817501367674418,0,Baixo,0,treino
9A8322C876BB7D547FC44D9BC18FC858,184,6,506.99,84.5,375,0,0.0,2,3,3,Hibernando,1,0.6390991200914004,1,Alto,0,treino
6BB6D7C44C3E41FF1191A652203A4EDE,16,8,601.16,75.15,361,0,0.0,4,3,3,Leais,1,0.3021744084059171,0,Medio,0,treino
64534B06EED1132CDE9C17755305987A,8,36,7027.06,184.92,422,0,0.0,4,5,5,Campeoes,1,0.031579902351104,0,Baixo,0,treino
803A36868C69E8582D87181287AADAF7,22,12,1477.53,123.13,420,0,0.0,4,3,4,Leais,1,0.232177551959779,0,Baixo,0,treino
382AD85EF629E6C3F6E4C5AB588542B7,16,10,441.83,36.82,421,0,0.0,4,3,3,Leais,1,0.2622450993018799,0,Baixo,0,treino
C633C6E5B8998176B00BD2C99A651824,2,82,9604.95,113.0,420,0,0.0,5,5,5,Campeoes,1,0.0054274276714005,0,Baixo,0,treino
CDCDF84F6F3D80D2F6A81A8831C7CBED,0,33,2074.36,62.86,402,0,0.0,5,4,4,Campeoes,2,0.0520617220773604,0,Baixo,0,treino
16047EC7F4468E9AB95EA621E004AC33,175,5,225.2,45.04,418,0,0.0,2,3,2,Hibernando,1,0.6677415400175227,1,Alto,0,treino
BB462F68AC54D3A876C1284CC56FD709,19,19,1286.71,64.34,418,0,0.0,4,4,4,Campeoes,1,0.1190954230508916,0,Baixo,0,treino
09770361BEEF694C621666968E879A13,194,3,120.09,40.03,323,0,0.0,2,2,2,Hibernando,2,0.7814426425785346,1,Alto,0,treino
FD7C78E71F4DD7AAF2F3829BD985DEE6,13,26,1082.76,37.34,411,0,0.0,4,4,4,Campeoes,2,0.0959933056924347,0,Baixo,0,teste
52EF99A11B16BD46E9D5B4C4BFBB5EED,15,20,3230.73,153.84,320,0,0.0,4,4,5,Campeoes,1,0.09516753493991,0,Baixo,0,treino
70ADE19AFE421007297AACA4C4A03F24,2,38,5469.86,136.75,418,0,0.0,5,5,5,Campeoes,1,0.0195449435945974,0,Baixo,0,treino
E7B891399E9340A52EB9969800AB9C8F,41,11,1170.98,106.45,327,0,0.0,3,3,4,Atencao,1,0.3346438781488701,0,Medio,0,treino
8E39E7A43FD9ECC5DBC8CF3FC78D75BB,29,61,4391.07,61.85,413,0,0.0,3,5,5,Atencao,2,0.053738175702767,0,Baixo,0,teste
EE5892193CBBABBB9398D8EC254DD2C3,14,50,4834.73,91.22,412,0,0.0,4,5,5,Campeoes,1,0.0276571665484217,0,Baixo,0,teste
C11F2BD77AB3A8C8549096184F3C472F,2,41,9795.22,233.22,408,0,0.0,5,5,5,Campeoes,1,0.0187317006606107,0,Baixo,0,treino
612B65DEEDB2F10CD886D5DB23EECD75,0,22,338.99,15.41,420,0,0.0,5,4,3,Leais,2,0.093283421031095,0,Baixo,0,treino
A33FB771B5BD61E08B4130651AED3AD0,2,60,5391.85,85.58,417,0,0.0,5,5,5,Campeoes,1,0.0106896121251129,0,Baixo,0,teste
0EF11E455DE5155659540A6BB67D38AE,0,34,613.93,18.06,332,0,0.0,5,5,3,Leais,2,0.0428011451804203,0,Baixo,0,treino
223B45903D7FE00CEA5F01D8C50E2599,57,9,1046.74,104.67,183,0,0.0,3,3,4,Atencao,1,0.460352297949937,1,Medio,0,teste
